"SYSTEM", "1", "SYSTEM", "System Start", " "
"Thread-8", "641", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "642", "SYSTEM", "Method Exit", " returner=Database:1#done_write:2, value=<void>"
"Thread-8", "643", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-3", "644", "SYSTEM", "Method Returned", " "
"Thread-3", "645", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "646", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-3", "647", "SYSTEM", "Variable Write", " context=Writer:4#run:4, i=1"
"Thread-3", "648", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "649", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "650", "SYSTEM", "Field Read", " context=Writer:4, d"
"Thread-8", "651", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "652", "SYSTEM", "Method Call", " caller=Writer:4#run:4, target=Database:1#request_write:7"
"Thread-3", "653", "SYSTEM", "Method Entered", " "
"Thread-3", "654", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "655", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "656", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "657", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-8", "658", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-1", "659", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-1", "660", "SYSTEM", "Field Write", " context=Database:1, ww=3"
"Thread-1", "661", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "662", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-1", "663", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-1", "664", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "665", "SYSTEM", "Field Write", " context=Database:1, w=1"
"Thread-1", "666", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "667", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "668", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-1", "669", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "670", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-2", "671", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "672", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "673", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "674", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "675", "SYSTEM", "Method Exit", " returner=Database:1#request_write:2, value=<void>"
"Thread-5", "676", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-1", "677", "SYSTEM", "Method Returned", " "
"Thread-1", "678", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "679", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "680", "SYSTEM", "Field Read", " context=Writer:2, d"
"Thread-5", "681", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "682", "SYSTEM", "Field Read", " context=Writer:2, x"
"Thread-1", "683", "SYSTEM", "Method Call", " caller=Writer:2#run:2, target=Database:1#write:3"
"Thread-1", "684", "SYSTEM", "Method Entered", " "
"Thread-1", "685", "SYSTEM", "Variable Write", " context=Database:1#write:3, x=10"
"Thread-1", "686", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "687", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "688", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "689", "SYSTEM", "Field Read", " context=Database:1, data"
"Thread-5", "690", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-6", "691", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-1", "692", "SYSTEM", "Field Write", " context=Database:1, data=1011"
"Thread-6", "693", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "694", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "695", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "696", "SYSTEM", "Method Exit", " returner=Database:1#write:3, value=<void>"
"Thread-1", "697", "SYSTEM", "Method Returned", " "
"Thread-1", "698", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "699", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "700", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "701", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-7", "702", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-7", "703", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "704", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-7", "705", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "706", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-3", "707", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "708", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-3", "709", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-3", "710", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "711", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-3", "712", "SYSTEM", "Field Write", " context=Database:1, ww=4"
"Thread-3", "713", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "714", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "715", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "716", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "717", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-2", "718", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-2", "719", "SYSTEM", "Field Write", " context=Database:1, ww=3"
"Thread-2", "720", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "721", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-2", "722", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-2", "723", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "724", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-2", "725", "SYSTEM", "Field Write", " context=Database:1, ww=4"
"Thread-2", "726", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "727", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-2", "728", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "729", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-1", "730", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "731", "SYSTEM", "Field Read", " context=Writer:2, d"
"Thread-1", "732", "SYSTEM", "Method Call", " caller=Writer:2#run:2, target=Database:1#done_write:3"
"Thread-1", "733", "SYSTEM", "Method Entered", " "
"Thread-1", "734", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "735", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "736", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "737", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-1", "738", "SYSTEM", "Field Write", " context=Database:1, w=0"
"Thread-1", "739", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "740", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-1", "741", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "742", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "743", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-4", "744", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "745", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "746", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-9", "747", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "748", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "749", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "750", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-8", "751", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "752", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "753", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "754", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "755", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-5", "756", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "757", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "758", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "759", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "760", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-6", "761", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "762", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "763", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "764", "SYSTEM", "Method Exit", " returner=Database:1#done_write:3, value=<void>"
"Thread-6", "765", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-1", "766", "SYSTEM", "Method Returned", " "
"Thread-1", "767", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "768", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-1", "769", "SYSTEM", "Variable Write", " context=Writer:2#run:2, i=1"
"Thread-1", "770", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "771", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "772", "SYSTEM", "Field Read", " context=Writer:2, d"
"Thread-6", "773", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "774", "SYSTEM", "Method Call", " caller=Writer:2#run:2, target=Database:1#request_write:8"
"Thread-1", "775", "SYSTEM", "Method Entered", " "
"Thread-1", "776", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "777", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "778", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "779", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-6", "780", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-4", "781", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-4", "782", "SYSTEM", "Field Write", " context=Database:1, ww=3"
"Thread-4", "783", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "784", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-4", "785", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-4", "786", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "787", "SYSTEM", "Field Write", " context=Database:1, w=1"
"Thread-4", "788", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "789", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "790", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-4", "791", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "792", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "793", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "794", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "795", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "796", "SYSTEM", "Method Exit", " returner=Database:1#request_write:5, value=<void>"
"Thread-9", "797", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "798", "SYSTEM", "Method Returned", " "
"Thread-4", "799", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "800", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-4", "801", "SYSTEM", "Field Read", " context=Writer:5, d"
"Thread-9", "802", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "803", "SYSTEM", "Field Read", " context=Writer:5, x"
"Thread-9", "804", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "805", "SYSTEM", "Method Call", " caller=Writer:5#run:5, target=Database:1#write:4"
"Thread-4", "806", "SYSTEM", "Method Entered", " "
"Thread-4", "807", "SYSTEM", "Variable Write", " context=Database:1#write:4, x=10000"
"Thread-4", "808", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "809", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "810", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "811", "SYSTEM", "Field Read", " context=Database:1, data"
"Thread-9", "812", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-8", "813", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-4", "814", "SYSTEM", "Field Write", " context=Database:1, data=11011"
"Thread-8", "815", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "816", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "817", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "818", "SYSTEM", "Method Exit", " returner=Database:1#write:4, value=<void>"
"Thread-4", "819", "SYSTEM", "Method Returned", " "
"Thread-4", "820", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "821", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "822", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "823", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-5", "824", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-5", "825", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "826", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-5", "827", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "828", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "829", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-1", "830", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-1", "831", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-1", "832", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "833", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-1", "834", "SYSTEM", "Field Write", " context=Database:1, ww=4"
"Thread-1", "835", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "836", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-1", "837", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "838", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "839", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-0", "840", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-0", "841", "SYSTEM", "Field Write", " context=Database:1, ww=3"
"Thread-0", "842", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "843", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-0", "844", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-0", "845", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "846", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-0", "847", "SYSTEM", "Field Write", " context=Database:1, ww=4"
"Thread-0", "848", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "849", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "850", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "851", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-4", "852", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "853", "SYSTEM", "Field Read", " context=Writer:5, d"
"Thread-4", "854", "SYSTEM", "Method Call", " caller=Writer:5#run:5, target=Database:1#done_write:4"
"Thread-4", "855", "SYSTEM", "Method Entered", " "
"Thread-4", "856", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "857", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "858", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "859", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-4", "860", "SYSTEM", "Field Write", " context=Database:1, w=0"
"Thread-4", "861", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "862", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-4", "863", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "864", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-3", "865", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "866", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "867", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-7", "868", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "869", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-7", "870", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "871", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "872", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-6", "873", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "874", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-9", "875", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "876", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "877", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "878", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-4", "879", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "880", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "881", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "882", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "883", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "884", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "885", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "886", "SYSTEM", "Method Exit", " returner=Database:1#done_write:4, value=<void>"
"Thread-3", "887", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-4", "888", "SYSTEM", "Method Returned", " "
"Thread-4", "889", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "890", "SYSTEM", "Field Write", " context=Database:1, ww=3"
"Thread-4", "891", "SYSTEM", "Variable Write", " context=Writer:5#run:5, i=1"
"Thread-4", "892", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "893", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "894", "SYSTEM", "Field Read", " context=Writer:5, d"
"Thread-3", "895", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-4", "896", "SYSTEM", "Method Call", " caller=Writer:5#run:5, target=Database:1#request_write:9"
"Thread-4", "897", "SYSTEM", "Method Entered", " "
"Thread-4", "898", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "899", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-4", "900", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "901", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "902", "SYSTEM", "Field Write", " context=Database:1, w=1"
"Thread-3", "903", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "904", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "905", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-3", "906", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "907", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "908", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-2", "909", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "910", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "911", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "912", "SYSTEM", "Method Exit", " returner=Database:1#request_write:7, value=<void>"
"Thread-2", "913", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-3", "914", "SYSTEM", "Method Returned", " "
"Thread-3", "915", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "916", "SYSTEM", "Field Write", " context=Database:1, ww=2"
"Thread-3", "917", "SYSTEM", "Field Read", " context=Writer:4, d"
"Thread-2", "918", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "919", "SYSTEM", "Field Read", " context=Writer:4, x"
"Thread-2", "920", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-3", "921", "SYSTEM", "Method Call", " caller=Writer:4#run:4, target=Database:1#write:5"
"Thread-3", "922", "SYSTEM", "Method Entered", " "
"Thread-3", "923", "SYSTEM", "Variable Write", " context=Database:1#write:5, x=1000"
"Thread-3", "924", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "925", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-3", "926", "SYSTEM", "Field Read", " context=Database:1, data"
"Thread-2", "927", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "928", "SYSTEM", "Field Write", " context=Database:1, data=12011"
"Thread-2", "929", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-3", "930", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "931", "SYSTEM", "Field Write", " context=Database:1, ww=3"
"Thread-3", "932", "SYSTEM", "Method Exit", " returner=Database:1#write:5, value=<void>"
"Thread-2", "933", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "934", "SYSTEM", "Method Returned", " "
"Thread-3", "935", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "936", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-2", "937", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "938", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-2", "939", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-7", "940", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-7", "941", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "942", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-7", "943", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "944", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "945", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-6", "946", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-6", "947", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "948", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-6", "949", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "950", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-6", "951", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-9", "952", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-9", "953", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "954", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-9", "955", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "956", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "957", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-8", "958", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-8", "959", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "960", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-8", "961", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "962", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-8", "963", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-4", "964", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-4", "965", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-4", "966", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "967", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-4", "968", "SYSTEM", "Field Write", " context=Database:1, ww=4"
"Thread-4", "969", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "970", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-4", "971", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-4", "972", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-3", "973", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "974", "SYSTEM", "Field Read", " context=Writer:4, d"
"Thread-3", "975", "SYSTEM", "Method Call", " caller=Writer:4#run:4, target=Database:1#done_write:5"
"Thread-3", "976", "SYSTEM", "Method Entered", " "
"Thread-3", "977", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "978", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "979", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "980", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-3", "981", "SYSTEM", "Field Write", " context=Database:1, w=0"
"Thread-3", "982", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "983", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-3", "984", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "985", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-1", "986", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "987", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "988", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-5", "989", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "990", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-5", "991", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "992", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "993", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-7", "994", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "995", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-7", "996", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-6", "997", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "998", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-6", "999", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "1000", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "1001", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "1002", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-9", "1003", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "1004", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "1005", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "1006", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "1007", "SYSTEM", "Method Exit", " returner=Database:1#done_write:5, value=<void>"
"Thread-9", "1008", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-3", "1009", "SYSTEM", "Method Returned", " "
"Thread-3", "1010", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "1011", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-3", "1012", "SYSTEM", "Variable Write", " context=Writer:4#run:4, i=2"
"Thread-3", "1013", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "1014", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "1015", "SYSTEM", "Field Read", " context=Writer:4, d"
"Thread-9", "1016", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-3", "1017", "SYSTEM", "Method Call", " caller=Writer:4#run:4, target=Database:1#request_write:10"
"Thread-3", "1018", "SYSTEM", "Method Entered", " "
"Thread-3", "1019", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-9", "1020", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "1021", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-3", "1022", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-9", "1023", "SYSTEM", "Field Read", " context=Database, s1"
"Thread-1", "1024", "SYSTEM", "Field Read", " context=Database:1, ww"
"Thread-1", "1025", "SYSTEM", "Field Write", " context=Database:1, ww=3"
"Thread-1", "1026", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "1027", "SYSTEM", "Field Read", " context=Database:1, r"
"Thread-1", "1028", "SYSTEM", "Field Read", " context=Database:1, w"
"Thread-1", "1029", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "1030", "SYSTEM", "Field Write", " context=Database:1, w=1"
"Thread-1", "1031", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "1032", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "1033", "SYSTEM", "Field Read", " context=Database, s2"
"Thread-1", "1034", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-0", "1035", "SYSTEM", "Line Step", " <source unavailable>"
"Thread-1", "1036", "SYSTEM", "Field Read", " context=Database, s3"
"Thread-0", "1037", "SYSTEM", "Field Read", " context=Database, s3"
